"ID","Qty","Part","MPN or specification","Unit USD","Line USD","Price basis","Installation","Notes","Source URL","Date"
"PH-CONTACT","4","Carrier harness crimp contact","JST SPH-002T-P0.5S","0.08","0.32","Estimate","Required","Crimp to 26 AWG stranded wire; use suitable tooling","https://www.jst-mfg.com/product/index.php?series=199","2026-09-06"
"BOARD-HOUSING","2","Board-side 4-position 1.25 mm mating housing","Pending delivered-board connector identification","","","Not yet identified","Required","Do not buy a generic JST/Molex housing by pitch alone; use board vendor matching pigtails or confirm connector series","https://www.lcdwiki.com/2.8inch_ESP32-32E_Display","2026-09-06"
"WIRE","0.5","26 AWG stranded hookup wire, total metres","UL1007 26 AWG; red, black, blue, yellow","1","0.5","Estimate per metre","Required","Two 100 mm wires per harness plus trimming allowance","https://www.digikey.com/en/products/filter/single-conductor-cables-hook-up-wire/474","2026-09-06"
"USB-SUPPLY","1","5 V 2 A regulated USB-A supply","Adafruit 1994 or equivalent 5 V 2 A supply","7.95","7.95","Estimate","Required","USB power only; do not connect a battery","https://www.adafruit.com/product/1994","2026-09-06"
"USB-CABLE","1","USB-A to USB-C data cable, 0.5 m","USB 2.0 data cable; 5 V / at least 2 A","4","4","Estimate","Required","A data-capable cable is needed for flashing; use USB-A supply for this board revision","https://www.adafruit.com/category/473","2026-09-06"
"DISPLAY-SCREW","4","M3 x 6 mm socket-head screw","ISO 4762 M3x6","0.1","0.4","Estimate","Required","Display board to bezel","https://www.mcmaster.com/screws/metric-socket-head-screws/","2026-09-06"
"CASE-SCREW-FULL","4","M3 x 40 mm socket-head screw","ISO 4762 M3x40","0.2","0.8","Estimate","Full shell only","Use two 0.5 mm DIN 433 washers under each head","https://www.mcmaster.com/screws/metric-socket-head-screws/","2026-09-06"
"CASE-WASHER","8","M3 small outside-diameter washer","DIN 433; ID 3.2 mm, OD 6 mm, thickness 0.5 mm","0.05","0.4","Estimate","Full shell only","Two per long case screw set the correct thread depth","https://www.mcmaster.com/washers/metric-washers/","2026-09-06"
"CASE-SCREW-SHALLOW","4","M3 x 25 mm socket-head screw","ISO 4762 M3x25","0.15","0.6","Estimate","Shallow shell only","No case washers required","https://www.mcmaster.com/screws/metric-socket-head-screws/","2026-09-06"
"M3-NUT","8","M3 hex nut","ISO 4032 / DIN 934 M3","0.05","0.4","Estimate","Required","Four display nuts and four enclosure closure nuts","https://www.mcmaster.com/nuts/metric-hex-nuts/","2026-09-06"
"MOUNT-SCREW","4","M2 x 6 mm socket-head screw","ISO 4762 M2x6","0.1","0.4","Estimate","Required","Removable sensor frame to rear shell","https://www.mcmaster.com/screws/metric-socket-head-screws/","2026-09-06"
"CARRIER-SCREW","2","M2 x 5 mm socket-head screw","ISO 4762 M2x5","0.1","0.2","Estimate","Required","Carrier PCB to removable frame, fitted from the component underside","https://www.mcmaster.com/screws/metric-socket-head-screws/","2026-09-06"
"M2-NUT","6","M2 hex nut","ISO 4032 / DIN 934 M2","0.05","0.30000000000000004","Estimate","Required","Four frame nuts and two carrier nuts","https://www.mcmaster.com/nuts/metric-hex-nuts/","2026-09-06"
"CO2-SCREW","4","M2.5 x 6 mm socket-head screw","ISO 4762 M2.5x6","0.1","0.4","Estimate","Optional CO2","Breakout to full sensor frame","https://www.mcmaster.com/screws/metric-socket-head-screws/","2026-09-06"
"CO2-NUT","4","M2.5 hex nut","ISO 4032 / DIN 934 M2.5","0.05","0.2","Estimate","Optional CO2","Captive nut in printed frame","https://www.mcmaster.com/nuts/metric-hex-nuts/","2026-09-06"
"GAS-SCREW","4","M2.5 x 6 mm socket-head screw","ISO 4762 M2.5x6","0.1","0.4","Estimate","Optional VOC/NOx","Breakout to full sensor frame","https://www.mcmaster.com/screws/metric-socket-head-screws/","2026-09-06"
"GAS-NUT","4","M2.5 hex nut","ISO 4032 / DIN 934 M2.5","0.05","0.2","Estimate","Optional VOC/NOx","Captive nut in printed frame","https://www.mcmaster.com/nuts/metric-hex-nuts/","2026-09-06"
"FOAM","0.1","Low-odor closed-cell PE foam gasket tape, metres","0.5 mm thick, 3 mm wide; no sensor coatings","1","0.1","Estimate per metre","Optional PM","Seal both duct interfaces and cushion retaining lips; trim clear of all air ports","https://www.mcmaster.com/foam/","2026-09-06"
"TIES","4","Small nylon cable tie","2.5 mm width x 100 mm","0.05","0.2","Estimate","Required","Secure slack to the removable frame, avoiding sensor vents and antenna","https://www.mcmaster.com/cable-ties/","2026-09-06"
"FEET","4","Self-adhesive silicone foot","8 mm diameter x 2 mm","0.1","0.4","Estimate","Required","Under the desktop stand","https://www.mcmaster.com/bumper-feet/","2026-09-06"
"PLA","0.16","PLA filament allowance, kilograms","1.75 mm PLA; 0.4 mm nozzle, 0.2 mm layers","20","3.2","Estimate per kg","Required","One bezel, one rear shell, one matching sensor frame, one stand and one fit coupon","https://www.prusa3d.com/category/prusament-pla/","2026-09-06"
"PRINT-BEZEL","1","Shared front bezel","enclosure/stl/bezel.stl","","","Included in filament","Required","Print flat exterior face on bed","","2026-09-06"
"PRINT-REAR","1","Choose full or shallow rear shell","enclosure/stl/rear_full.stl OR rear_shallow.stl","","","Included in filament","Required","Full required for any optional modules","","2026-09-06"
"PRINT-FRAME","1","Choose matching removable sensor frame","enclosure/stl/sensor_mount_full.stl OR sensor_mount_shallow.stl","","","Included in filament","Required","Match rear-shell depth; supplied STL is already oriented for printing","","2026-09-06"
"PRINT-STAND","1","Desktop stand","enclosure/stl/stand.stl","","","Included in filament","Required","Flat base on bed","","2026-09-06"
"PRINT-COUPON","1","Fastener and fit coupon, two pieces","enclosure/stl/fit_test.stl","","","Included in filament","Required","Print and check fits before committing to the full case","","2026-09-06"
